,company,index,company_size,company_year_founded,company_type,company_industry,company_revenue,company_review,company_interview_difficulty,company_benefits,company_location
1088,Grainger,1088,10000+ Employees,1927,Company - Public,Wholesale,$10+ billion (USD),, 2.9,4.1,"Lake Forest, IL"
1089,Aera Technology,1089,201 to 500 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.5,2.7,"Mountain View, CA"
1090,Genomics Institute of the Novartis Research Foundation,1090,1 to 50 Employees,null,Company - Private,Research & Development,$5 to $10 million (USD),, 2.8,4.4,"San Diego, CA"
1091,RealSelf,1091,51 to 200 Employees,2006,Company - Private,"Health, Beauty, & Fitness",Unknown / Non-Applicable,, 3.0,4.5,"Seattle, WA"
1092,Techno Comp,1092,1 to 50 Employees,null,Company - Private,Consulting,$1 to $5 million (USD),, 3.2,4.6,"Somerset, NJ"
1093,TouchPal ,1093,201 to 500 Employees,null,Company - Public,,Less than $1 million (USD),, 2.5,,"Shanghai, China"
1094,CityGrid Media,1094,201 to 500 Employees,null,Subsidiary or Business Segment,News Outlet,Less than $1 million (USD),, 2.9,3.3,"West Hollywood, CA"
1095,NYU Langone Health,1095,10000+ Employees,1841,Hospital,Health Care Services & Hospitals,$5 to $10 billion (USD),, 2.7,4.3,"New York, NY"
1096,Dealertrack,1096,1001 to 5000 Employees,2001,Company - Private,Computer Hardware & Software,$100 to $500 million (USD),, 2.8,3.6,"North Hills, NY"
1097,Businessolver,1097,501 to 1000 Employees,1998,Company - Private,IT Services,Unknown / Non-Applicable,, 3.0,3.3,"West Des Moines, IA"
1098,Spring Health,1098,1 to 50 Employees,2016,Company - Private,Health Care Services & Hospitals,Unknown / Non-Applicable,, 2.7,2.7,"New York, NY"
1099,Optoro,1099,51 to 200 Employees,2010,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 3.1,4.6,"Washington, DC"
1100,x.ai,1100,51 to 200 Employees,2014,Company - Private,Internet,Unknown / Non-Applicable,, 2.3,4.0,"New York, NY"
1101,OrangePeople,1101,51 to 200 Employees,2006,Company - Private,IT Services,$10 to $25 million (USD),, 3.0,3.5,"Irvine, CA"
1102,Edvenswa Tech,1102,51 to 200 Employees,null,Company - Private,,Less than $1 million (USD),,,,"Hyderābād, India"
1103,W2O Group,1103,201 to 500 Employees,2001,Company - Private,Advertising & Marketing,$100 to $500 million (USD),, 2.5,4.0,"San Francisco, CA"
1104,Driven Brands,1104,1001 to 5000 Employees,2006,Company - Private,Automotive Parts & Accessories Stores,$2 to $5 billion (USD),, 2.8,3.3,"Charlotte, NC"
1105,Career Soft Solutions,1105,1 to 50 Employees,2004,Private Practice / Firm,IT Services,Unknown / Non-Applicable,, 2.5,0.0,"Chennai, India"
1106,PNR Software Solutions,1106,51 to 200 Employees,null,Contract,,Less than $1 million (USD),,,0.0,"Hyderābād, India"
1107,CircleUp,1107,51 to 200 Employees,2012,Company - Private,Venture Capital & Private Equity,Unknown / Non-Applicable,, 3.0,4.0,"San Francisco, CA"
1108,Samsung Semiconductor Inc (US),1108,1001 to 5000 Employees,1983,Subsidiary or Business Segment,Computer Hardware & Software,Unknown / Non-Applicable,, 2.9,4.1,"Suwŏn, South Korea"
1109,Houzz,1109,1001 to 5000 Employees,2009,Company - Private,Internet,Unknown / Non-Applicable,, 2.8,4.0,"Palo Alto, CA"
1110,Neiman Marcus,1110,10000+ Employees,1907,Company - Private,"Department, Clothing, & Shoe Stores",$5 to $10 billion (USD),, 2.5,3.3,"Dallas, TX"
1111,TellApart,1111,51 to 200 Employees,2009,Company - Private,Internet,$100 to $500 million (USD),, 3.2,4.3,"San Francisco, CA"
1112,First,1112,1 to 50 Employees,null,Company - Private,Internet,Less than $1 million (USD),, 2.6,4.3,"Durham, NC"
1113,Titan Data,1113,1 to 50 Employees,2002,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,,,,"Woodbury, MN"
1114,SunTrust,1114,10000+ Employees,1983,Company - Public,Banks & Credit Unions,$5 to $10 billion (USD),, 2.6,3.8,"Atlanta, GA"
1115,Blue Ridge (GA),1115,51 to 200 Employees,null,Company - Private,,Less than $1 million (USD),,,,"Atlanta, GA"
1116,Bottlenose,1116,1 to 50 Employees,null,Company - Private,,$1 to $5 million (USD),,,4.5,"Sherman Oaks, CA"
1117,Reddit,1117,201 to 500 Employees,2005,Company - Private,Internet,Unknown / Non-Applicable,, 2.9,4.5,"San Francisco, CA"
1118,Ozmo,1118,51 to 200 Employees,2016,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 2.0,5.0,"Blacksburg, VA"
1119,Yelp,1119,5001 to 10000 Employees,2004,Company - Public,Internet,$1 to $2 billion (USD),, 2.8,4.3,"San Francisco, CA"
1120,Two Nil,1120,1 to 50 Employees,2019,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,, 2.1,2.6,"Los Angeles, CA"
1121,Recurly,1121,51 to 200 Employees,2009,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 2.4,4.3,"San Francisco, CA"
1122,AMERICAN BANKERS LIFE ASSURANCE COMPANY OF FLORIDA,1122,1001 to 5000 Employees,null,Company - Private,,$100 to $500 million (USD),, 1.0,1.0,"Miami, FL"
1123,Vistronix,1123,,,,,,,,,
1124,Mu Sigma,1124,1001 to 5000 Employees,2004,Company - Private,Consulting,Unknown / Non-Applicable,, 3.0,2.2,"Northbrook, IL"
1125,Essilor,1125,10000+ Employees,1972,Company - Public,Health Care Products Manufacturing,$5 to $10 billion (USD),, 2.7,3.7,"Charenton-le-Pont, France"
1126,Sapient Global Markets,1126,10000+ Employees,1990,Company - Public,Consulting,Unknown / Non-Applicable,, 3.1,3.9,"Boston, MA"
1127,Ask Media Group,1127,51 to 200 Employees,1996,Company - Public,Publishing,$100 to $500 million (USD),, 3.1,4.0,"Oakland, CA"
1128,Huawei Technologies,1128,10000+ Employees,1987,Company - Private,Telecommunications Services,$10+ billion (USD),, 2.9,3.4,"Shenzhen, China"
1129,HookLogic,1129,51 to 200 Employees,2004,Company - Private,Internet,$50 to $100 million (USD),, 2.8,4.8,"New York, NY"
1130,Morningstar,1130,5001 to 10000 Employees,1984,Company - Public,Financial Analytics & Research,$1 to $2 billion (USD),, 2.8,4.1,"Chicago, IL"
1131,Uplight,1131,201 to 500 Employees,null,Company - Private,,Less than $1 million (USD),, 2.8,,"Boulder, CO"
1132,Civitas Learning,1132,51 to 200 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.9,4.0,"Austin, TX"
1133,MRP,1133,51 to 200 Employees,2002,Company - Public,Enterprise Software & Network Solutions,$50 to $100 million (USD),, 2.3,2.5,"Philadelphia, PA"
1134,Design Interactive,1134,51 to 200 Employees,1998,Company - Private,Research & Development,$5 to $10 million (USD),, 3.4,3.6,"Orlando, FL"
1135,Technology Partners,1135,201 to 500 Employees,1994,Company - Private,IT Services,$25 to $50 million (USD),, 2.8,3.7,"Chesterfield, MO"
1136,CBRE,1136,10000+ Employees,1906,Company - Public,Real Estate,Unknown / Non-Applicable,, 2.7,3.5,"Los Angeles, CA"
1137,OpenTable,1137,1001 to 5000 Employees,1998,Company - Public,Internet,Unknown / Non-Applicable,, 2.7,4.0,"San Francisco, CA"
1138,Cintra,1138,1001 to 5000 Employees,1998,Subsidiary or Business Segment,Transportation Management,$1 to $2 billion (USD),, 2.8,3.8,"Madrid, Spain"
1139,eluv.io,1139,,,,,,,,,
1140,Market Force Information,1140,501 to 1000 Employees,null,Company - Private,Advertising & Marketing,$50 to $100 million (USD),, 2.0,2.2,"Louisville, CO"
1141,Fanatics,1141,5001 to 10000 Employees,1996,Company - Private,Sporting Goods Stores,$1 to $2 billion (USD),, 2.7,3.6,"Jacksonville, FL"
1142,Two Sigma,1142,1001 to 5000 Employees,2001,Company - Private,Investment Banking & Asset Management,Unknown / Non-Applicable,, 3.3,4.4,"New York, NY"
1143,Federal Reserve Bank (NY),1143,1001 to 5000 Employees,1914,Company - Private,Financial Analytics & Research,$10+ billion (USD),, 2.9,4.6,"New York, NY"
1144,Petuum,1144,51 to 200 Employees,2016,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 3.0,2.9,"Pittsburgh, PA"
1145,Geisinger,1145,10000+ Employees,1915,Nonprofit Organization,Health Care Services & Hospitals,$500 million to $1 billion (USD),, 2.7,3.8,"Danville, PA"
1146,First Hawaiian Bank,1146,1001 to 5000 Employees,1858,Company - Public,Banks & Credit Unions,$500 million to $1 billion (USD),, 2.4,4.3,"Honolulu, HI"
1147,Quad,1147,10000+ Employees,1971,Company - Public,Advertising & Marketing,$2 to $5 billion (USD),, 2.6,3.4,"Sussex, WI"
1148,Wunderkind,1148,201 to 500 Employees,2012,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,, 3.1,4.5,"New York, NY"
1149,Molson Coors Beverage Company,1149,10000+ Employees,1774,Company - Public,Food & Beverage Manufacturing,$2 to $5 billion (USD),, 2.8,4.0,"Chicago, IL"
1150,Clarabridge,1150,201 to 500 Employees,2006,Company - Private,Computer Hardware & Software,$50 to $100 million (USD),, 2.8,4.0,"Reston, VA"
1151,Precision Medicine Group,1151,1001 to 5000 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,, 3.0,3.6,"Bethesda, MD"
1152,Tendril,1152,,,,,,,,,
1153,ZEFR,1153,201 to 500 Employees,null,Company - Private,Motion Picture Production & Distribution,$10 to $25 million (USD),, 2.7,3.5,"Venice, CA"
1154,Pacific Gas and Electric,1154,10000+ Employees,1905,Company - Public,Utilities,$10+ billion (USD),, 2.8,4.2,"San Francisco, CA"
1155,ZapLabs,1155,51 to 200 Employees,null,Subsidiary or Business Segment,Computer Hardware & Software,Unknown / Non-Applicable,, 2.5,4.0,"Emeryville, CA"
1156,Suning Commerce R&D Center USA,1156,5001 to 10000 Employees,1990,Company - Private,General Merchandise & Superstores,$2 to $5 billion (USD),, 2.4,3.6,"Palo Alto, CA"
1157,Aliya,1157,1 to 50 Employees,2015,Company - Private,Financial Analytics & Research,Unknown / Non-Applicable,, 3.0,4.7,"Stamford, CT"
1158,Delta Air Lines,1158,10000+ Employees,1928,Company - Public,Airlines,$10+ billion (USD),, 3.0,4.2,"Atlanta, GA"
1159,Equian,1159,1001 to 5000 Employees,2004,Company - Private,Health Care Services & Hospitals,Unknown / Non-Applicable,, 2.0,4.0,"Indianapolis, IN"
1160,Mulberry Management Corporation,1160,,,,,,,,,
1161,Hanover Research,1161,201 to 500 Employees,2003,Company - Private,Consulting,Unknown / Non-Applicable,, 2.9,3.7,"Washington, DC"
1162,IM Flash Technologies,1162,,,,,,,,,
1163,Exponent,1163,1001 to 5000 Employees,1967,Company - Public,Consulting,$100 to $500 million (USD),, 2.9,3.8,"Menlo Park, CA"
1164,Valassis,1164,1001 to 5000 Employees,1970,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,, 3.0,3.6,"Livonia, MI"
1165,TechField,1165,51 to 200 Employees,2014,Company - Private,IT Services,$1 to $5 million (USD),, 1.8,2.5,"Atlanta, GA"
1166,New Balance,1166,5001 to 10000 Employees,1906,Company - Private,Other Retail Stores,$2 to $5 billion (USD),, 2.5,4.0,"Boston, MA"
1167,Symphony RetailAI,1167,501 to 1000 Employees,1986,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.7,3.7,"Dallas, TX"
1168,eMetric,1168,51 to 200 Employees,2000,Company - Private,Computer Hardware & Software,$1 to $5 million (USD),, 3.0,4.6,"San Antonio, TX"
1169,Ameren,1169,5001 to 10000 Employees,1904,Company - Public,Utilities,$5 to $10 billion (USD),, 3.0,4.4,"Saint Louis, MO"
1170,Enterprise Holdings,1170,10000+ Employees,1957,Company - Private,Car Rental,$10+ billion (USD),, 2.7,3.9,"Saint Louis, MO"
1171,HAVI,1171,10000+ Employees,1975,Company - Private,Consulting,Unknown / Non-Applicable,, 2.7,4.2,"Downers Grove, IL"
1172,Emailage,1172,51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.5,4.6,"Chandler, AZ"
1173,Zephyr Health,1173,,,,,,,,,
1174,ShipBob,1174,501 to 1000 Employees,2014,Company - Private,Shipping,$50 to $100 million (USD),, 2.8,3.9,"Chicago, IL"
1175,Palantir Technologies,1175,1001 to 5000 Employees,2004,Company - Private,Computer Hardware & Software,$1 to $2 billion (USD),, 3.2,4.3,"Denver, CO"
1176,NantHealth,1176,201 to 500 Employees,2014,Company - Public,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.7,4.0,"Culver City, CA"
1177,"FocusKPI, Inc.",1177,51 to 200 Employees,null,Company - Private,Advertising & Marketing,Less than $1 million (USD),, 2.4,2.5,"Santa Clara, CA"
1178,RBC,1178,10000+ Employees,1869,Company - Public,Banks & Credit Unions,$10+ billion (USD),, 2.8,3.9,"Toronto, Canada"
1179,Fedex Express,1179,10000+ Employees,1971,Subsidiary or Business Segment,Express Delivery Services,$10+ billion (USD),, 2.4,4.3,"Memphis, TN"
1180,TBWA\Chiat\Day,1180,1001 to 5000 Employees,1968,Company - Public,Advertising & Marketing,$100 to $500 million (USD),, 2.6,3.5,"New York, NY"
1181,LivingSocial,1181,201 to 500 Employees,2007,Company - Private,Internet,Unknown / Non-Applicable,, 2.9,4.2,"Washington, DC"
1182,AArete,1182,201 to 500 Employees,2008,Company - Private,Consulting,$50 to $100 million (USD),, 2.7,4.3,"Chicago, IL"
1183,StubHub,1183,1001 to 5000 Employees,2000,Company - Private,Ticket Sales,$500 million to $1 billion (USD),, 2.7,4.2,"San Francisco, CA"
1184,Quotient,1184,501 to 1000 Employees,1998,Company - Public,Advertising & Marketing,$100 to $500 million (USD),, 2.6,4.2,"Mountain View, CA"
1185,Equity Methods,1185,51 to 200 Employees,null,Company - Private,Consulting,$10 to $25 million (USD),, 3.4,4.5,"Scottsdale, AZ"
1186,XANT,1186,201 to 500 Employees,2004,Company - Private,Enterprise Software & Network Solutions,$25 to $50 million (USD),, 2.7,4.0,"Lehi, UT"
1187,FedEx,1187,10000+ Employees,1973,Company - Public,Express Delivery Services,$10+ billion (USD),, 2.5,3.9,"Memphis, TN"
1188,Clarity Insights,1188,,,,,,,,,
1189,Explorys,1189,51 to 200 Employees,null,Company - Private,Computer Hardware & Software,$10 to $25 million (USD),, 3.1,3.5,"Cleveland, OH"
1190,John Hancock,1190,1001 to 5000 Employees,1862,Subsidiary or Business Segment,Insurance Carriers,$50 to $100 million (USD),, 2.7,4.0,"Boston, MA"
1191,Market Track,1191,1001 to 5000 Employees,1992,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,, 2.9,3.7,"Chicago, IL"
1192,University of Pennsylvania,1192,10000+ Employees,1740,College / University,Colleges & Universities,Unknown / Non-Applicable,, 2.6,4.1,"Philadelphia, PA"
1193,DeepIQ,1193,,,,,,,,,
1194,Demeter Analytics Services,1194,,,,,,,,,
1195,Moody's Corporation,1195,10000+ Employees,1900,Company - Public,Financial Analytics & Research,$2 to $5 billion (USD),, 2.9,4.0,"New York, NY"
1196,Greensky,1196,501 to 1000 Employees,2006,Company - Public,Lending,Unknown / Non-Applicable,, 3.1,3.5,"Atlanta, GA"
1197,PURE Group of Insurance Companies,1197,501 to 1000 Employees,2006,Company - Private,Insurance Carriers,$1 to $2 billion (USD),, 2.8,4.3,"White Plains, NY"
1198,Incedo,1198,1001 to 5000 Employees,2012,Company - Private,IT Services,$100 to $500 million (USD),, 2.8,2.9,"Iselin, NJ"
1199,Patolus Operations,1199,,,,,,,,,
1200,Assero Services,1200,51 to 200 Employees,2013,Company - Private,Real Estate,$25 to $50 million (USD),, 2.3,2.0,"Newtown, PA"
1201,Fresh Gravity,1201,51 to 200 Employees,2015,Company - Private,IT Services,Unknown / Non-Applicable,, 2.8,4.0,"Santa Clara, CA"
1202,Telenav,1202,501 to 1000 Employees,1999,Company - Public,"Cable, Internet & Telephone Providers",$100 to $500 million (USD),, 2.8,4.1,"Santa Clara, CA"
1203,PayScale,1203,201 to 500 Employees,2002,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 2.8,4.1,"Seattle, WA"
1204,Remedy Partners,1204,201 to 500 Employees,2011,Company - Private,Health Care Services & Hospitals,Unknown / Non-Applicable,, 2.8,4.0,"Norwalk, CT"
1205,Vesta Corporation,1205,201 to 500 Employees,1995,Company - Private,Financial Transaction Processing,$100 to $500 million (USD),, 2.4,3.1,"Portland, OR"
1206,Granular,1206,201 to 500 Employees,2014,Company - Public,IT Services,Unknown / Non-Applicable,, 2.7,4.0,"San Francisco, CA"
1207,Contextlogic,1207,,,,,,,,,
1208,Atmospheric Data Solutions,1208,,,,,,,,,
1209,NYU (New York University),1209,10000+ Employees,1831,College / University,Colleges & Universities,$5 to $10 billion (USD),, 2.5,4.1,"New York, NY"
1210,Ventyx,1210,5001 to 10000 Employees,1988,Company - Public,Computer Hardware & Software,$10+ billion (USD),, 2.7,3.5,"Atlanta, GA"
1211,Sentieon,1211,,,,,,,,,
1212,Caesars Entertainment,1212,10000+ Employees,1937,Company - Public,Gambling,$5 to $10 billion (USD),, 2.6,3.5,"Las Vegas, NV"
1213,Mitchell Martin,1213,501 to 1000 Employees,1984,Company - Private,Staffing & Outsourcing,$100 to $500 million (USD),, 2.3,3.3,"New York, NY"
1214,Quid,1214,51 to 200 Employees,2010,Company - Private,Internet,$10 to $25 million (USD),, 3.0,4.6,"San Francisco, CA"
1215,Agile Secure Data Exchange,1215,,,,,,, 2.0,4.0,
1216,Itemize,1216,1 to 50 Employees,2013,Company - Private,Computer Hardware & Software,$1 to $5 million (USD),, 2.3,4.5,"New York, NY"
1217,Findream,1217,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),,,,"Mountain View, CA"
1218,Res-Intel,1218,,,,,,,,,
1219,Alexis Technologies,1219,,,,,,,,,
1220,ProLytics,1220,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),,,,"Charlotte, NC"
1221,Electronic Arts,1221,5001 to 10000 Employees,1982,Company - Public,Video Games,$2 to $5 billion (USD),, 2.7,4.3,"Redwood City, CA"
1222,Digital Technology Laboratory,1222,Unknown,null,Company - Private,Consumer Products Manufacturing,$5 to $10 million (USD),,,,"Broderick, CA"
1223,Vityou,1223,,,,,,,,,
1224,ASDFSD Ltd,1224,,,,,,,,,
1225,Group W,1225,51 to 200 Employees,null,Company - Private,Research & Development,$5 to $10 million (USD),, 3.0,4.7,"Vienna, VA"
1226,FCB Health Network,1226,1001 to 5000 Employees,null,Subsidiary or Business Segment,Advertising & Marketing,Less than $1 million (USD),, 2.7,4.0,"New York, NY"
1227,Mobstaz,1227,,,,,,,,,
1228,SOC Telemed,1228,201 to 500 Employees,2006,Company - Private,Health Care Services & Hospitals,$25 to $50 million (USD),, 2.0,3.2,"Reston, VA"
1229,American Traffic Solutions,1229,501 to 1000 Employees,1987,Company - Public,Transportation Management,Unknown / Non-Applicable,, 2.8,3.5,"Mesa, AZ"
1230,Kerneos Aluminate Technologies,1230,,,,,,, 3.0,0.0,
1231,"Levi, Ray and Shoup",1231,501 to 1000 Employees,1979,Company - Private,Computer Hardware & Software,$100 to $500 million (USD),, 2.4,4.0,"Springfield, IL"
1232,Trianz,1232,1001 to 5000 Employees,2001,Company - Private,IT Services,Unknown / Non-Applicable,, 2.8,3.2,"Santa Clara, CA"
1233,Alliant Cooperative Data Solutions,1233,1 to 50 Employees,2003,Company - Private,Advertising & Marketing,$5 to $10 million (USD),, 3.5,4.0,"Brewster, NY"
1234,Pactiv,1234,10000+ Employees,1965,Company - Private,Industrial Manufacturing,$2 to $5 billion (USD),, 2.4,3.8,"Lake Forest, IL"
1235,Rapid Global Business Solutions (RGBSI),1235,501 to 1000 Employees,1997,Company - Private,Staffing & Outsourcing,$50 to $100 million (USD),, 2.5,3.3,"Troy, MI"
1236,World Fuel Services,1236,1001 to 5000 Employees,1984,Company - Public,Energy,$10+ billion (USD),, 2.8,3.6,"Doral, FL"
1237,Savonix,1237,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),,,4.0,"San Francisco, CA"
1238,Sunstates Security,1238,1001 to 5000 Employees,1998,Company - Private,Security Services,$50 to $100 million (USD),, 2.1,2.9,"Raleigh, NC"
1239,Everbridge,1239,1001 to 5000 Employees,2002,Company - Public,Computer Hardware & Software,$25 to $50 million (USD),, 2.8,3.6,"Burlington, MA"
1240,Naval Undersea Warfare Center,1240,1001 to 5000 Employees,null,Government,Federal Agencies,Less than $1 million (USD),, 2.0,3.9,"Washington, DC"
1241,Reefpoint Group,1241,1 to 50 Employees,null,Company - Private,Consulting,$1 to $5 million (USD),, 2.0,,"Edgewater, MD"
1242,Audience Media,1242,1 to 50 Employees,null,Company - Public,,Less than $1 million (USD),, 3.0,,"London, United Kingdom"
1243,Electric Power Research Institute (EPRI),1243,501 to 1000 Employees,1973,Nonprofit Organization,Membership Organizations,$100 to $500 million (USD),, 2.7,4.0,"Palo Alto, CA"
1244,"CSAA Insurance Group, a AAA Insurer",1244,1001 to 5000 Employees,1914,Company - Private,Insurance Carriers,Unknown / Non-Applicable,, 2.8,3.9,"Walnut Creek, CA"
1245,Enquizit,1245,1 to 50 Employees,null,Company - Private,,$1 to $5 million (USD),,,,"Mc Lean, VA"
1246,SRA International,1246,10000+ Employees,2015,Company - Public,IT Services,$5 to $10 billion (USD),, 2.6,3.3,"Falls Church, VA"
1247,Carlisle & Co,1247,51 to 200 Employees,null,Company - Private,Consulting,$10 to $25 million (USD),, 3.4,4.4,"Concord, MA"
1248,Virtual Power Systems,1248,1 to 50 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Less than $1 million (USD),, 2.3,3.0,"Milpitas, CA"
1249,Digitize,1249,,,,,,,,,
1250,Oncology Analytics,1250,51 to 200 Employees,2009,Company - Private,Health Care Services & Hospitals,Unknown / Non-Applicable,, 3.0,4.4,"Atlanta, GA"
1251,Soteria Networks,1251,,,,,,,,,
1252,Gilbarco Veeder-Root,1252,1001 to 5000 Employees,1870,Subsidiary or Business Segment,Industrial Manufacturing,$1 to $2 billion (USD),, 2.9,3.8,"Greensboro, NC"
1253,Xandr,1253,1001 to 5000 Employees,2018,Company - Public,Advertising & Marketing,Unknown / Non-Applicable,, 2.8,3.8,"New York, NY"
1254,Grab Technology,1254,,,,,,,,,
1255,Huntington Ingalls Industries,1255,10000+ Employees,2011,Company - Public,Aerospace & Defense,$5 to $10 billion (USD),, 2.5,3.9,"Newport News, VA"
1256,SwitchPitch,1256,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),, 3.0,,"Washington, DC"
1257,Dotdash,1257,201 to 500 Employees,1996,Subsidiary or Business Segment,Publishing,Unknown / Non-Applicable,, 2.5,3.5,"New York, NY"
1258,Siemens PLM Software,1258,5001 to 10000 Employees,2004,Subsidiary or Business Segment,Computer Hardware & Software,$1 to $5 million (USD),, 3.0,3.8,"Plano, TX"
1259,Bartech Staffing,1259,1001 to 5000 Employees,1976,Company - Private,Staffing & Outsourcing,$50 to $100 million (USD),, 3.1,3.0,"Southfield, MI"
1260,SeatGeek,1260,201 to 500 Employees,2009,Company - Private,Internet,Unknown / Non-Applicable,, 3.0,4.6,"New York, NY"
1261,Ampt,1261,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),, 5.0,,"Fort Collins, CO"
1262,HouseCanary,1262,51 to 200 Employees,2013,Company - Private,Internet,Unknown / Non-Applicable,, 2.9,3.8,"San Francisco, CA"
1263,Michigan State University,1263,10000+ Employees,1855,College / University,Colleges & Universities,$1 to $2 billion (USD),, 2.3,4.0,"East Lansing, MI"
1264,DirectAvenue,1264,1 to 50 Employees,2007,Company - Private,TV Broadcast & Cable Networks,$5 to $10 million (USD),, 2.0,,"Carlsbad, CA"
1265,Guardian Analytics,1265,51 to 200 Employees,null,Company - Private,Enterprise Software & Network Solutions,$25 to $50 million (USD),, 2.6,3.6,"Mountain View, CA"
1266,McGraw Hill,1266,1001 to 5000 Employees,1888,Company - Private,Education Training Services,$1 to $2 billion (USD),, 2.8,3.6,"New York, NY"
1267,DigiCert,1267,1001 to 5000 Employees,2003,Company - Private,IT Services,$100 to $500 million (USD),, 3.0,4.5,"Lehi, UT"
1268,BlueAlly,1268,51 to 200 Employees,null,Company - Private,IT Services,$25 to $50 million (USD),,,3.7,"Vienna, VA"
1269,L3 Technologies,1269,,,,,,,,,
1270,3TEN8,1270,51 to 200 Employees,null,Company - Private,,Less than $1 million (USD),,,5.0,"Santa Clara, CA"
1271,State of New Jersey Department of Health,1271,51 to 200 Employees,null,Government,,$5 to $10 million (USD),, 2.7,3.4,"Trenton, NJ"
1272,Analytics Media Group,1272,,,,,,,,1.0,
1273,Spaceflight Industries,1273,51 to 200 Employees,1999,Company - Private,Aerospace & Defense,$50 to $100 million (USD),, 2.7,4.6,"Seattle, WA"
1274,LabCorp,1274,10000+ Employees,1995,Company - Public,Research & Development,$5 to $10 billion (USD),, 2.4,3.5,"Burlington, NC"
1275,BASF,1275,10000+ Employees,1865,Company - Public,Chemical Manufacturing,$10+ billion (USD),, 3.0,4.3,"Florham Park, NJ"
1276,Najarian Capital,1276,,,,,,,,,
1277,University of Utah,1277,10000+ Employees,1850,College / University,Colleges & Universities,$2 to $5 billion (USD),, 2.5,4.3,"Salt Lake City, UT"
1278,AMD,1278,5001 to 10000 Employees,1969,Company - Public,Computer Hardware & Software,$2 to $5 billion (USD),, 3.0,3.7,"Santa Clara, CA"
1279,Cornerstone OnDemand,1279,1001 to 5000 Employees,1999,Company - Public,Enterprise Software & Network Solutions,$500 million to $1 billion (USD),, 3.0,3.9,"Santa Monica, CA"
1280,Bizrate Insights,1280,51 to 200 Employees,1996,Subsidiary or Business Segment,Internet,Unknown / Non-Applicable,,,2.7,"Los Angeles, CA"
1281,Systematrix,1281,,,,,,,,,
1282,Stansberry Research,1282,51 to 200 Employees,1999,Company - Private,Publishing,$100 to $500 million (USD),, 3.3,4.6,"Baltimore, MD"
1283,Morelity,1283,1 to 50 Employees,null,Company - Public,Internet,Less than $1 million (USD),, 2.0,,"Des Moines, IA"
1284,Sony,1284,10000+ Employees,1946,Company - Public,Consumer Products Manufacturing,$10+ billion (USD),, 2.8,4.1,"Tokyo, Japan"
1285,Dentsu Aegis Network,1285,5001 to 10000 Employees,null,Company - Public,Advertising & Marketing,Unknown / Non-Applicable,, 2.6,3.5,"London, United Kingdom"
1286,Collabera,1286,10000+ Employees,1991,Company - Private,IT Services,$500 million to $1 billion (USD),, 2.6,2.7,"Basking Ridge, NJ"
1287,Instart,1287,51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,$50 to $100 million (USD),, 3.1,4.3,"Palo Alto, CA"
1288,C-K,1288,201 to 500 Employees,1898,Company - Private,Advertising & Marketing,$500 million to $1 billion (USD),, 2.8,3.9,"Chicago, IL"
1289,Gram Laboratories,1289,,,,,,,,,
1290,J. C. Penney,1290,10000+ Employees,1902,Company - Public,"Department, Clothing, & Shoe Stores",$10+ billion (USD),, 2.1,3.1,"Plano, TX"
1291,UnitedMasters,1291,51 to 200 Employees,2017,Company - Private,Music Production & Distribution,Unknown / Non-Applicable,, 3.3,,"Brooklyn, NY"
1292,Drawbridge,1292,51 to 200 Employees,2011,Company - Private,Internet,Unknown / Non-Applicable,, 3.1,3.7,"San Mateo, CA"
1293,Jackson Lewis,1293,1001 to 5000 Employees,1957,Company - Private,Legal,$50 to $100 million (USD),, 2.6,3.3,"New York, NY"
1294,CallidusCloud,1294,1001 to 5000 Employees,1996,Company - Public,Enterprise Software & Network Solutions,$100 to $500 million (USD),, 2.7,4.0,"Dublin, CA"
1295,CAC America,1295,1 to 50 Employees,null,Company - Private,Security Services,$5 to $10 million (USD),, 3.0,3.3,"Bowling Green, NY"
