,Company,Description,Glassdoor Salary Estimate,Industry,Location,Position,Rating,Revenue,Sector,Size,Year Founded










Receive support and training from the Team Lead and Machine Learning team on the various methods, techniques, tools and products of all initiatives engaged on.










Support data scientists and data analysts in the development of analytical and predictive models.










Work closely with data scientists to analyze machine learning models for AI platform while working with them to calculate metrics with visualizations that provide insight into our data.










Support creation of data visualizations and narration of model outcomes for non-technical audience.










Collaborate with the Machine Learning team, Business Services and IT teams to assess potential impact of system architecture and infrastructure changes on data science solutions in operation.










Design, implement and maintain pipelines that produce business critical data reliably and efficiently using cloud technology, combining RESTful APIs and ETL scripts or tools to connect with internal components as well as with external data sources and legacy data sources.










Qualifications:










A Bachelor Degree in a quantitative field such as Statistics, Mathematics, Computer Science, Actuarial Science, Economics or Engineering.










2 years of experience (or more) in machine learning concepts or applied research in a related field.










Experience in a statistical programming language (Python, SAS, R)










Experience with data preparation techniques such as cleansing, wrangling, and feature engineering for machine learning and data mining.










Knowledge of statistical methods such as linear regression, tree-based regression/classification, time series analysis, clustering and factor analysis.










Working knowledge of experimental and observational research design is an asset.










Proficiency with SQL is a requirement.










Experience with ETL process and tools (PyHive, PySpark, DataStage, SSIS, Attunity) is an asset.










Excellent interpersonal, leadership, visualization and communication skills, including the ability to explain complex technical concepts in simple terms along with a desire to work closely with end-users and executives.










Excellent written and presentation skills.










Experience with processing modeling, data modeling and governance/process documentation.










Familiarity with public sources of socioeconomic data is an asset.










Working knowledge of rehabilitative medicine, health care and/or economics is an asset.










Salary:










Salary: PG 11





















Start Rate: $73,500 to Job Rate: $86,436 per annum





















Note:










To be considered for this position, please apply online quoting competition #J1120-0335 by submitting a cover letter and resume below.





















External candidates will also be considered.",-1,Federal Agencies,Edmonton,Data Analyst,3.9,$1 to $2 billion (USD),Government,1001 to 5000 Employees,-1

33,Jam City,"As a leading mobile games developer, Jam City is looking to “level up” our talent for our Bingo team in Toronto. We’re on the hunt for innovators who consider themselves dynamic, collaborative and thrive in a fast-paced environment.





















PERKS & BENEFITS










Unlimited Vacation, Paid Sick Days & Holidays*










100% Employee Covered Medical, Dental, Vision Plan Base Plan*










Life Insurance, RRSP matching, Flexible Spending Accounts & More*










Catered Lunches & Well-stocked Kitchens










Company Events such as movie night, pub night and more…










You'll be equipped with a high-end laptop, monitor and mobile device










Convenient location in downtown Toronto’s entertainment and technology district










*Only applies to full-time positions.





















ABOUT THE ROLE










We are currently looking for a Data Analyst to join our Bingo Pop team! You will get the opportunity to work with some of gaming’s top talent, while lending your analytical talents to help us create top-tier mobile games. Our ideal candidate would have a strong appetite to learn, inquire and apply their knowledge to give informed proposals on the design of our game.










RESPONSIBILITIES










Building reports, dashboards and data visualizations that are used everyday by team leads and executives.










Developing new metrics and player cohorts to unlock insights into player behavior.










Assisting in the design of new game features.










Helping to manage billions of rows of data along with our data pipeline.










Responding to ad-hoc requests from the executive, financial or marketing teams when insights into our data are needed.










QUALIFICATIONS










BA/BS degree or equivalent.










1+ years of experience working with data on a live product.










Strong data analysis skills using spreadsheets and querying databases.










Previous startup experience is desirable, comfort in an agile environment.










Strong understanding of SQL or Redshift and proficiency in data visualization.










Strong attention to detail and proven analytical skills.










The ability to communicate and present information clearly.










An appetite to learn, grow, and take on increasingly more responsibility.










A strong desire to answer questions that can drive actionable decisions.










Knowledge of the mobile gaming industry in order to provide recommendations on game design.










NICE TO HAVE










Experience working on a free to play mobile game.










ABOUT JAM CITY










Jam City is an award-winning mobile entertainment studio providing unique and deeply engaging games that appeal to a broad, global audience.





















Led by CEO Chris DeWolfe, former MySpace co-founder and CEO, and COO Josh Yguado, former 20th Century Fox executive, Jam City is the creative powerhouse behind some of the highest-grossing and most enduring mobile games. Jam City’s global franchise Cookie Jam has generated more than half a billion dollars, and Panda Pop has more than 120 million downloads to date.





















The company also is the go-to studio for Hollywood, having developed immersive, narrative-rich mobile games around iconic entertainment brands. The company’s popular RPG game Harry Potter: Hogwarts Mystery was the #1 game in more than 40 countries at its launch in April 2018.





















Jam City has nine studios located in Los Angeles (HQ), Berlin, Buenos Aires, Bogotá, Burbank, Cedar Falls, San Diego, San Francisco, and Toronto.",-1,Video Games,Toronto,Data Analyst,4,Unknown / Non-Applicable,Media,501 to 1000 Employees,2010

34,Glu Mobile,"Role Overview:










As a Data Analyst, you will consult with the team on reading the performance of a new game going to market. You will work to define business problems, develop analytical approaches, and craft recommendations to the product and live ops teams. You will work to measure performance of features, content and more to shape the day to day live operations and overall game experience. This is a highly visible role with direct impact on the financial success of our game.





















Team Overview





















At the CrowdStar Studio, we believe there is a huge opportunity in interactive entertainment products for women. Our goal is to build products that engage, enrich, and empower women.





















With our two top grossing titles, Covet Fashion and Design Home, CrowdStar has developed new ways for players to enjoy fashion and interior design, enriching lifestyle content to the next level of interactivity. Now, the Studio is preparing to launch it’s 3rd title, with the backing of our prior industry leading titles, and you could be a part of this game-changing initiative! If the idea of innovating the lifestyle gaming space interests you, this may be the next role for you.





















Role overview:










As a Data Analyst, you will consult with the team on reading the performance of a new game going to market. You will work to define business problems, develop analytical approaches, and craft recommendations to the product and live ops teams. You will work to measure performance of features, content and more to shape the day to day live operations and overall game experience. This is a highly visible role with direct impact on the financial success of our game.










Responsibilities:










You will be a great fit for the role if you have:










Answer business-related questions through exploratory data analyses and ad-hoc reporting that helps drive engagement, retention and monetization.










Work with the Product Management team to conduct analyses and produce strategic insights to help stakeholders make informed decisions regarding live content performance and feature investment.










Present analysis conclusions to business stakeholders in a clear and practical way.










Design and interpret A/B and multivariate experiments










Supporting the PM team and other stakeholders with Query writing, and data gathering.










Partner with Data Engineers to manage data quality and integrity to support high-quality deliverables.










Play the game and know it from the inside out.










Passion for games










4+ years of experience as a game data analyst or data analyst or financial analyst delivering insights to deliver business results.










2+ years experience using SQL, including complex queries from multiple data sources.










1+ years experience applying statistical analysis to consumer behaviors (video gaming, e-commerce, consumer entertainment, etc.).










Some R/Python data mining, machine learning, or statistical modeling experience is preferred.










Excellent analytical and problem solving skills.










Strong communication and presentation skills.










Ability to quickly prioritize and execute multiple competing projects based on business case and expected impact.










A Bachelor’s Degree in computer science, Economics, Mathematics, Statistics, Business Administration, Marketing or related field",-1,Computer Hardware & Software,Toronto,Data Analyst,3.5,$100 to $500 million (USD),Information Technology,501 to 1000 Employees,2001

35,Germain Hôtels,"You are dynamic, you show initiative and acute organizational skills, you love learning, you are detail-oriented, you have an exceptional disposition, and you enjoy working with a passionate team: this job is for you!










Do you like challenges? Join a growing company that offers real opportunities for advancement.










Do you have ideas? Our management style is flexible and we encourage initiative.










Is family close to your heart? As a family owned business it’s close to ours too! That’s why you’ll have the opportunity to invite friends and family to work during Family Day!










Do you like to travel? Take advantage of an employee discount when you stay at one of our hotels and your nearest and dearest can also benefit with the Family and Friends discount.










Germain Hôtels is a family-run business founded in Quebec in 1988. As the owner and operator of a network of 20 properties across the country, the company remains the only genuinely Canadian hotel group to-date. A model of boldness and innovation, Germain Hôtels is renowned for its philosophy of hospitality and its exceptional sense of aesthetics. The company’s national presence and its desire to surround itself with local collaborators make it a Canadian lifestyle expert. The group’s 1,500 employees are dedicated to the company’s mission, having welcomed guests for more than 5 million room nights since the company’s founding. Each member of our team is chosen for their sincere desire to please and their ability to work in a team!










Property: Montreal or Quebec Service Center










Service: IT










Status: permanent, full time










Job Summary:










We are looking for a resourceful and well spoken candidate passionate about customer service. The person will use a large amount of data from various sources to optimize the company’s results. He will simplify data access and help identify key strategic data interpretation and combinations. He will consistently seek to improve the way we use data and apply it to answer the needs of the industry. The variety of assigned tasks will allow the candidate to apply his knowledge to the work while learning continuously. The candidate must be available for occasional short trips.










Reporting to the IT Director and in collaboration with the Data Architect, the Analyst must:










Responsibilities:










Strategy and Planning










Collaborate with teams from various departments to define metrics, guidelines and strategies to implement an efficient use of data;










Establish links between existing data sources and identify adding value relationships;










Help to elaborate policies and data management process;










Acquisition & Implementation










Follow research and formulate recommendations regarding the data lake infrastructure, database technologies, analysis tools;










Pilot data import and movement with an ETL system;










Collect new data and refine existing data sources;










Operational Management










Implement library and tools to help other members in the analytics team to analyze and interact more efficiently with a larger quantity of data;










Standardize where and how corporate data is created, maintained, moved and shared;










Setup PowerBI dashboard compliant with best practices;










Aggregate datasets to clean and structure them;










Turn data into graphics to simplify result reporting.










Required profile and skills










Ability to manipulate and analyze large complex datasets from various sources;










Mastery of the following concepts : data flow, data management, data optimisation and conversion;










Good knowedge of Apache Kafka, Apache Nifi, Apache Hive, PowerBI;










Knowledge of Oracle and SQL database;










Good knowledge of the following languages: SQL, JAVA, Powershell, Bash script;










Good knowledge of JDBC drivers;










Basic knowledge of AWS, EC2, S3;










Experience in managing several projects simultaneously;










Knowledge of hotel operations, an asset;










Degree in computer science, in computer system management or other relevant qualifications;










Minimum of 2 years of relevant experience;










Fluent in French and English;










Autonomy;










Resourcefulness;










Methodical;










High attention to customer satisfaction and conscientiousness;










Great learning and adptation skills;










Good communicator.










Job Types: Full-time, Permanent










Benefits:










Company events










Disability insurance










Employee assistance program










Extended health care










Flexible schedule










On-site gym










Paid time off










Schedule:










Day shift










Monday to Friday










Location:










Quebec City, QC (Required)










Work remotely:










Temporarily due to COVID-19",-1,-1,Quebec,Data Analyst,-1,Less than $1 million (USD),-1,Unknown,-1

36,Q & A BP Consulting,"Performing requirements analysis










Perform data analysis, reporting and support strategic business initiatives










Assist in root cause analysis and driving resolution of critical production data quality issues as needed










Provide coaching, troubleshooting and training to new users










Managing projects, developing project plans, and monitoring performance.










Updating, implementing and maintaining procedures.










Prioritizing initiatives based on business needs and requirements.










Assets:










Excellent communication skills










Excellent documentation skill










Able to work complex data systems and perform detailed analysis










Have the knowledge of Data visualization tools such as Tableau










Have a superior knowledge of MS Excel (Pivot Tables and V-lookups)










Able to analyze data and interpret the results










Have the knowledge of SQL










Competency in Microsoft applications including Word, Excel, and Outlook.










Industry: Consulting and Business Services










Job Types: Full-time, Permanent










Salary: $42,905.00-$52,440.00 per year










Benefits:










Casual dress










Work from home










Schedule:










8 hour shift










Experience:










Data Analysis: 1 year (Preferred)










Work remotely:










Yes, temporarily due to COVID-19",-1,-1,Vaughan,Junior Data Analyst,-1,-1,-1,-1,-1

37,The Workers' Compensation Board,"Data Analyst










Business Services, Machine Learning & Analysis










Edmonton, Alberta










Permanent Full-Time





















We are looking for a motivated Data Analyst to analyze information and data needs required to deliver on innovation, machine learning and process automation solutions.





















Responsibilities:










Extract and gather data from internal and external sources preparing data for analysis and training of machine learning models, including cleansing, integration, transformation and reduction of data.










Monitor, maintain and report on previously developed models created by internal and external resources.










Develop documentation, metadata, standards and governance around data preparation techniques and data asset management.










Assist in the development of new machine learning capabilities in an agile and structured manner (I.e. iterative exploration pilot or proof of concept phase prior to a planned enterprise roll-out strategy).










Receive support and training from the Team Lead and Machine Learning team on the various methods, techniques, tools and products of all initiatives engaged on.










Support data scientists and data analysts in the development of analytical and predictive models.










Work closely with data scientists to analyze machine learning models for AI platform while working with them to calculate metrics with visualizations that provide insight into our data.










Support creation of data visualizations and narration of model outcomes for non-technical audience.










Collaborate with the Machine Learning team, Business Services and IT teams to assess potential impact of system architecture and infrastructure changes on data science solutions in operation.










Design, implement and maintain pipelines that produce business critical data reliably and efficiently using cloud technology, combining RESTful APIs and ETL scripts or tools to connect with internal components as well as with external data sources and legacy data sources.





















Qualifications:










A Bachelor Degree in a quantitative field such as Statistics, Mathematics, Computer Science, Actuarial Science, Economics or Engineering.










2 years of experience (or more) in machine learning concepts or applied research in a related field.










Experience in a statistical programming language (Python, SAS, R)










Experience with data preparation techniques such as cleansing, wrangling, and feature engineering for machine learning and data mining.










Knowledge of statistical methods such as linear regression, tree-based regression/classification, time series analysis, clustering and factor analysis.










Working knowledge of experimental and observational research design is an asset.










Proficiency with SQL is a requirement.










Experience with ETL process and tools (PyHive, PySpark, DataStage, SSIS, Attunity) is an asset.










Excellent interpersonal, leadership, visualization and communication skills, including the ability to explain complex technical concepts in simple terms along with a desire to work closely with end-users and executives.










Excellent written and presentation skills.










Experience with processing modeling, data modeling and governance/process documentation.










Familiarity with public sources of socioeconomic data is an asset.










Working knowledge of rehabilitative medicine, health care and/or economics is an asset.





















Salary:










Salary: PG 11





















Start Rate: $73,500 to Job Rate: $86,436 per annum





















Note:










To be considered for this position, please apply online quoting competition #J1120-0335 by submitting a cover letter and resume below.





















External candidates will also be considered.",-1,Insurance Carriers,Edmonton,Data Analyst,4.1,Unknown / Non-Applicable,Insurance,1001 to 5000 Employees,1917

38,Plooto,"Plooto (plooto.com) is transforming the way small and medium businesses manage their financial operations. By digitizing and automating accounts payable and receivable processes, we help SMBs save time and focus on growing their businesses. Plooto is backed by Real Ventures, Golden Ventures and ScaleUP Ventures.





















At Plooto we've been there-we've grown businesses of our own and have experienced the frustrations of managing accounts payable and accounts receivable in antiquated systems. Our passion is to enable businesses to avoid challenges and change the way they manage their finances moving forward. Our vision is to provide SMBs with a complete cash flow management platform to automate complex workflows, by unifying payments, processes, control, reconciliation, and reporting.





















Plooto is seeking an experienced Data Analystto own the companys rich data sets and generate valuable insights for the benefit of sales and marketing business functions. This is a key role that will help us in further instilling a data-driven culture.





















Reporting to the Head of Data, you will play a key role in the success of our company by building and deploying best practices when it comes to securing and managing our data and enhancing the way we leverage it. Furthermore, you understand the business impact of your work and enjoy measuring and presenting it. You enjoy leading and working with Sales/Marketing and other stakeholders to find the best solution to the problem at hand, iterate over it and can balance technical complexity with delivering timely customer value.





















Key Duties:










Be a strategic partner to Sales and Marketing teams with reporting needs while flagging trends that lead to revenue opportunities










Respond to data related inquiries in real-time to support business and technical teams










Creating and maintaining interactive visualizations in PowerBI through data interpretation and analysis, integrating various reporting components from multiple data sources










Provide data solutions, tools, and capabilities to enable self-service frameworks for data consumers










Develop and maintain our data ingestion tools and processes with a scalability mindset










Develop an in-depth understanding of our business KPIs and project goals










Support the creation and implementation of new reporting, tools, and processes










Expert knowledge and experience with SQL










Possess a good understanding of Hubspot/Salesforce and their integration with other tools










Experience with business reporting tools such as PowerBI










An understanding of sales and marketing funnel and metrics in the context of a SaaS Startup










Able to act independently, and capable of switching rapidly between different projects/tasks in a fast-paced environment










Great communication skills - you can speak with concision and change your communication style based on your audience










An exceptionally strong work ethic and a high level of analytical capabilities and attention to detail










Education in either accounting, statistics, math or engineering (software development) preferred",-1,-1,Toronto,Data Analyst,3.4,Less than $1 million (USD),-1,1 to 50 Employees,-1

39,Drone Delivery Canada,"Company Profile





















""Reimagining the Way You Deliver"". Drone Delivery Canada is a publicly traded, disruptive, pioneering, technology company focused on designing, developing and implementing commercially viable, drone-based logistics systems for government, commercial, industrial & retail customers globally. The Company’s patented, fully-integrated hardware/software platform is used as a managed service in a SaaS business model. Drone Delivery Canada is commercialized, operational and early-stage revenue-generating, with a robust sales funnel of global prospects.





















TSX.V: FLT; OTC QB: TAKOF; Frankfurt: ABB.F





















www.DroneDeliveryCanada.com





















Our people are at the heart of the innovation process and joining us means you can build a career in a way no other company can duplicate! We are seeking entrepreneurial, smart, team-oriented people who have purpose and are committed to helping our team bring leading drone technology to businesses globally.





















DDC is looking for a person to fill the Data Analyst role (3-month contract, part time or full time, with possibility of extension). You will make a difference everyday as you navigate the following duties and responsibilities:





















Essential Duties & Responsibilities










Gather requirements, analyze source data systems, interpreting data










Developing and implementing data analyses, data collection systems and other strategies that optimise statistical efficiency and quality










Work with team members across the company to understand how to interpret the data that will be incorporated into systems










Help perform ad-hoc analytics requests, analyze test results, draw actionable insights, generate reports and present findings internally










Define frequency of data collection, consistency










Perform other duties, as assigned










Education & Work Experience:










Bachelor’s degree in Engineering, Science or Math










Minimum 1- 2 years expertise in compiling raw data, and leveraging tools that extract and convey actionable insights from data










Technical expertise regarding data models, database design development, data mining and segmentation techniques










Strong knowledge and experience with reporting packages, databases and programming










Adept at queries, report writing and presenting findings










Behavioural Competencies and Personal Attributes










Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy










Able to work well with people at all levels










Results oriented and able to complete tasks on deadlines










Integrity, Empathy and commitment to excellence










High attention to detail and organisational skills










Ability to work independently and as part of a team










Exemplary communication skills, verbal and written










Hours of Work, Work Environment and Potential Travel










3-month contract, with possibility of extension










Part time option – 20 hours p/week










Full time option - 37.5 hours p/week, 8:30am to 4:30pm










Position is predominantly a combination of in-office and remote










Diversity & Inclusion





















DDC is committed to the creation of an exceptional work environment wherein we maintain values of mutual respect, integrity, dignity, and inclusivity; and encourage the open exchange of ideas and opinions. We are an equal opportunity employer that evaluates applicants without regard to race, color, national origin, religion, sex, age, marital status, disability, veteran status, sexual orientation, gender identity, or other characteristics protected by law.





















If you require a specific accommodation because of a disability or a medical need, please inform the recruiter. This ensures that the appropriate accommodations are in place at time of your interview and before you begin your employment.",-1,Logistics & Supply Chain,Vaughan,Data Analyst,4.3,Unknown / Non-Applicable,Transportation & Logistics,1 to 50 Employees,2014

40,TEEMA,"Title: Data Analyst










Job ID: KH316087923





















Our client is seeking for a Data Analyst to be responsible for providing data analysis support to the platform and data governance teams.





















Responsibilities:










Prepare outcomes, conclusions and recommendations (resulting from data analysis) for management consumption.










Support Data Architect in creating logical data models and data classes within Hopex.










Support and contribute to process documentations, operations design, and automation of data management processes.










Qualifications:










Diploma or degree in Computer Science or equivalent experience.










More than 5 years of experience working as a Data Analyst with a variety of database technologies including MSFT SQL, SSIS, SSAS, including advance level experience working with data formats such as XML, CSV and JSON.










Advanced knowledge on technical data lineage and data modeling concepts.










Hopex or experience using other EA tools to perform logical data modeling is required.










Experience with Azure DevOps software and Agile practices.










Spanish language would be considered an asset.










For more information about TEEMA and to consider other career opportunities, please visit our website at www.teemagroup.com





















By applying to TEEMA on any job portal implies you are entering into a business relationship with us and therefore grants TEEMA consent to send you further job updates or industry and company related information.",-1,Staffing & Outsourcing,Vancouver,Data Analyst,4.6,$50 to $100 million (USD),Business Services,201 to 500 Employees,2008

41,Medcan,"About Us:





















Established over 30 years ago, Medcan is a global leader in assessing clients' overall well-being and inspiring them to live well. Medcan has a comprehensive range of diagnostic assessments, which, in combination with innovative programs tailored to specific needs, are designed to successfully reach improved health outcomes.





















Over 80 physicians and specialists, alongside a broad roster of complementary health care disciplines, provide health and lifestyle management services on site and by video consult for individuals, families and organizations. Our team of 550 staff see clients physically and virtually from our downtown Toronto location.





















The Role





















The Data Analyst is accountable for supporting Medcan’s data cleansing and data migration efforts. The key outcome is to have reliable data and data integrity to apply to our new infrastructure and systems.





















The candidate will play a key role in supporting the development of the newly redesigned data architecture, data validation, ensuring the appropriate data points are available for reporting, and supporting the development team in readying data for system loads.





















The Accountabilities










Entering data into system [Salesforce] based off revised data model and new business requests in an accurate and timely manner










Identify and support fixes to structural errors, data parsing, transformation, and duplicate elimination










Entering customer and account data from source documents – referencing legacy systems and new systems for validation and verification as well as identifying areas of missing data










Compiling data, verifying accuracy and sorting information to prepare source data for entry










Ability to validate/ challenge data model and requests. Ability to have conversations focused on verification with key business stakeholders










Support additional data auditing and workflow specifications associated to data integrity










Assist in other data entry, data-cleansing duties as required and requested










Connect and collaborate with Analytics team to ensure data sources for reporting requirements available and accurate










Keep information confidential. Comply with data integrity and security policies










The Requirements










1+ years’ experience as a Data Analyst, Business Analyst, or similar role










Ability to QA data (post-processing and additional cleansing processes), fix structural errors and data integrity issues.










Strong attention to detail










Ability to work in fast-paced environment and on project with tight delivery windows










Well versed in Microsoft Excel and data programs, experience using Salesforce is a plus










Ability to learn new systems quickly










Self-sufficient individual with the ability to work well in cross-functional teams










This is a short-term full-time contract opportunity. Preference will be given to those able to start immediately.





















In your cover letter please include why you wish to align yourself with Medcan and how you believe you can add value to our organization.





















We thank all applicants for their interest; however only those selected for an initial interview will be contacted. No phone calls and no agencies please.",-1,Health Care Services & Hospitals,Toronto,Data Analyst,2.7,$50 to $100 million (USD),Health Care,501 to 1000 Employees,1989

42,Eagle Professional Resources,"Data Analyst
































Eagle is currently seeking two (2) Data Analysts for one (1) year contract opportunities, scheduled to begin immediately.





















Key Responsibilities





















The successful candidates will be responsible for:










Supporting execution of data readiness scope and deliverables to meet program timelines and key dates;










Providing support to data functional teams and external teams for data profiling, collection, cleansing, and validation;










Tracking data readiness metrics;










Supporting planning and communication of the data work within the Finance workstreams;










Supporting integration and coordination of team members working on data activities;










Identifying data readiness issues and challenges, plan and execute resolution and escalate as required;










Facilitating and driving resolution of issues within and across teams with respect to requirements and processes;










Supporting execution of data conversion processes across entire data lifecycle to meet program timelines and key dates, including cutovers;










Identifying data readiness opportunities for optimization and execution in order to maximize efficiencies;










Supporting inputs into project status to leadership and stakeholders; and,










Supporting and providing guidance to data readiness team members.









