,Company,Description,Glassdoor Salary Estimate,Industry,Location,Position,Rating,Revenue,Sector,Size,Type,Year Founded











Breadth and depth of knowledge / experience with various forms of reporting, including the design and creation of ad-hoc reports, automated reports and interactive dashboards / UIs.











Extensive knowledge and experience with reporting data analytical and data mining tools, including Crystal











Reports, IBM reporting tools, Cognos Reporting tools and Cognos Framework Manager. Experience with SQL (IBM DB2, Microsoft SQL Server, etc.) including complex queries and stored procedures.























Interested candidates may forward a resume to Martha Orr morr@deangroup.ca























#DGT2",,Staffing & Outsourcing,Toronto,Reporting Consultant & Data Analyst / Cognos Expert,4.5,Less than $1 million (USD),Business Services,51 to 200 Employees,Company - Private,

85,Latitude Technologies,"Summary of the Role:



































Duties and Responsibilities:











Qualifications























Skills and Abilities























About Latitude Technologies:











How to Apply























Summary of the Role:











Latitude Technologies has an opening within their Software Testing Department for a self-motivated Quality Assurance Analyst to help us continue adding value to our aviation services platform.























Latitude Technologies develops its hardware, embedded software, and enterprise software systems in-house. You will report to the Team Lead and be responsible for working with the software development team on a variety of development projects, including embedded real-time software development using compilers, linkers, microcontrollers and related tools. You will gain exposure to the aerospace industry, avionics systems design and Transport Canada regulatory compliance issues.























The Software Quality Assurance Analysts role is to develop and implement quality assurance standards and measures for the Information System services within the organization. This will include writing and executing test plans and scripts, assisting in the creation and updating of documentation, and gathering and reporting of related data.























Duties and Responsibilities:











• Create and execute test plans & scripts that will ensure applications meet business requirements, system goals, and fulfill end-user requirements.























• Review and recommend revisions to quality assurance measures and standards as needed.























• Creation of configuration files for aviation hardware, specifically targeting the acquisition of data from aircraft.























• Collaborate with software and systems personnel in engineering and application testing, such as system, unit, regression, load, and acceptance testing methods.























• Coordinate deployment of new development, improvements, or corrections to ensure that quality, communication, documentation, and training objectives are achieved.























• Prepare and deliver reports, recommendations, or alternatives that address existing and potential trouble areas in enterprise/embedded software projects across the organization.























• Participate in developing, distributing, and coordinating software testing projects for modified and new systems or applications.























Qualifications























• Positive work attitude in a team environment.























• Excellent written and oral communication skills.























• Strong problem-solving skills augmented by a good attention to detail.























• Excellent communication, planning and time management skills.























• Excellent understanding of the organization’s goals and objectives.























Skills and Abilities























• Experience in overseeing the design, development, and implementation of quality assurance standards for software testing.























• Strong knowledge of system testing best practices and methodologies, including how to structure and prioritize test development.























• Hands on experience with ad hoc query programs, automated testing tools, and reporting software.























• Proven data analysis, data verification, and problem-solving abilities.























• Good project management skills and/or substantial exposure to project-based work structures.























• Ability to write clearly.























About Latitude Technologies:











Latitude Technologies is located in Victoria, British Columbia, on beautiful Vancouver Island. We are one of the world’s leading developers and manufacturers of wireless data management solutions for aviation, land, and marine transportation industries, delivering certified satellite-based data and voice communications systems and onboard wireless terminals and transceivers to customers worldwide. We are a company on the move and are looking for great people to grow with us.























How to Apply























Latitude offers a competitive salary and a comprehensive medical and dental benefits package. We are proudly an equal opportunity employer. If you are self-motivated, enjoy problem-solving, and are looking for an opportunity to grow your career as part of a world-class team, contact us today.























Please submit your resume to hr@latitudetech.com, subject line “Software Development QA Analyst.”",,Aerospace & Defense,Victoria,Flight Data Analyst,4,$1 to $5 million (USD),Aerospace & Defense,1 to 50 Employees,Company - Private,2001

86,DNAstack,"We are looking for a highly motivated Junior Software Developer to join a growing,fast-paced team. The ideal candidate is eager to learn and ready to tackle a variety of challenging problems! You will work directly with senior engineers to design and implement features for robust, secure, and scalable cloud-based systems that enable analysis, sharing and federation of genomics data. Your daily challenges will include development of RESTful APIs, implementation of responsive dashboards, building authorization infrastructure for a federated system, developing high performance processing on large quantities of structured and unstructured data, deploying software using continuous deployment/integration, and more!























At DNAstack, you will have the opportunity to find exactly where you thrive whether it is front-end, backend, cloud infrastructure, or all of the above, and will have plenty of access to coaching and mentorship while picking up new technologies and products across multiple teams.























DNAstack is a strong believer in open science, and provides all employees with the opportunity to be involved in pioneering global standards through our work with the Global Alliance for Genomics and Health. Through this work, you will have the opportunity to be involved in the development of standards defining the future of genomics while becoming an important part of an active global community.























RESPONSIBILITIES











Contribute to the complete development lifecycle of our products including: prototyping, development, testing, and deployment











Identify issues, troubleshoot bugs and write high-quality engineering documentation











Take responsibility for continuous improvements in the coding and development of your own coding practices











Work closely with team members to deliver products within an agile work environment











QUALIFICATIONS











Bachelors or Masters degree in Computer Science or equivalent preferred; demonstrable understanding of systems, algorithms, and software design required











A self-starter, willing to learn new technologies and continuously striving to improve their own coding practices











Excellent verbal and written communication skills











ADDITIONAL QUALIFICATIONS











Previous work experience, especially in an agile environment











Experience working with and analyzing big data (especially genomics data) in a distributed environment would be considered an asset











Knowledge of cloud computing principles or direct experience with a cloud platform would be considered an asset











Experience with genetics or bioinformatics is a bonus











TECHNOLOGIES



































We do not expect candidates to have all the skills listed here, but any skills already possessed are an asset, and willingness to learn is a requirement.











Java (Spring Boot)











Javascript, TypeScript (Angular), CSS/SCSS











Relational Databases (MySQL, PostgreSQL, BigQuery)











Microservices, Docker, and Kubernetes











Git











RESTful APIs and OpenAPI











Continuous deployment











12-factor application model











Bash











Python











About DNAStack



































DNAstack creates industry leading software technologies that help scientists more easily discover, access, and analyze the worlds exponentially growing volumes of genomic and clinical data.























Powered by JazzHR",,Enterprise Software & Network Solutions,Toronto,Junior Software Developer,4.9,Unknown / Non-Applicable,Information Technology,1 to 50 Employees,Company - Private,2014

87,HomeStars,"WHO WE ARE:























Canadians spend over $70B annually on their homes - whether it’s major renovations, or small repairs and maintenance work. This journey often starts by finding the right contractor. HomeStars is the leading platform in Canada, helping homeowners with their home renovation needs by allowing them to search our database of companies and hundreds of thousands of reviews.























Every month over half a million homeowners visit HomeStars to research and connect with the best rated home professionals near them. Home Professionals advertise on HomeStars to tell their story, and grow their business with highly qualified connections. HomeStars has recently been acquired by ANGI Homeservices Inc., the #1 marketplace in the US for helping homeowners connect with the best home service providers.























WHY JOIN US:























HomeStars is looking to continue to build a positive, winning culture and that starts with hiring great people like you! If you are looking to work or be a part of an organization with an exceptional environment, we want to hear from you!























HomeStars embraces and celebrates the uniqueness within our work community. We believe our greatest ideas come from a diverse mix of mindsets, backgrounds, and experiences. The HomeStars organization is committed to cultivating an inclusive work environment where all of our employees feel welcome, comfortable, and have the opportunity to thrive.























Perks of working at HomeStars:











We are growing fast. HomeStars is part of the ANGI Homeservices Inc. family which is public and includes top home service brands like Home Advisor and Angie’s List.











Excellent Benefits Package. We want a healthy and productive team.











Company wide social events and team building activities.











December Break. The office is closed the week before New Year’s.











Personal Growth. We seek to provide employees with constructive feedback to foster their career growth.











Beautiful brick & beam office in the heart of the entertainment district in Toronto.











Rec room with lounge, ping pong, darts and foosball.











ABOUT THE ROLE:























You seek to intimately understand our business, product, and customer and be able to translate that into actionable reporting and insights from data to unlock others to make critical decisions.























You enable our Product team to measure the impact of what we ship, and uncover actionable insights from our data to help product teams deliver even better products in the future.























You work hand-in-hand with Product Managers and other stakeholders through planning, execution and delivery of new features to develop a set engagement key performance indicators and ensure we’re able to understand those KPIs as soon as we launch























You work closely with developers to make sure we’re collecting and storing the information that will let us track and measure those key performance indicators, and you leverage modern data and analytics tools to develop dashboards and conduct case studies that effectively tell the story of our data.























With your help, Homestars’ business and customers will use data and analytics to drive more informed decisions.























OPPORTUNITY:











Understand the data that drives our product success, and deliver curated dashboards & reports that help our team deeply understand our Product











Build-out analytics reporting across our existing products & features to surface insights about our key performance indicators and identify opportunities for improvement











Partner with Product Managers to ensure we have well defined KPIs and reporting for new products and features before we launch them, so we can generate and respond to insights in market quickly











Work with our Engineering team to ensure we have the right instrumentation and data structure to answer our most pressing questions











Proactively make recommendations based on the insights you uncover from new product features, changes in user experience, or your own exploration and curiosity











Focus on the highest priority questions and ensure that your deliverables are easily digestible, visually appealing, and can effectively tell the story of our data











Provide guidance on what type of data and analytics support is required, whether it be building a set of dashboards, conducting a case study, or a combination of both











Requirements











Proven working experience as a data analyst or business analyst, with specialization in data visualization or dashboard development -- a focus on product analytics a plus











Hands-on-keyboard experience with modern data visualization platforms (Tableau, Google Data Studio, Looker, etc...) and databases (MySQL, Google BigQuery, etc...)











Ability to work with data engineers to ensure we process the right data, and structure it in a way that enables you to build dashboards & reporting that help our product team deeply understand our product through data











Well-versed writing SQL queries to curate data sets and quickly respond to ad-hoc inquiries from the a variety of stakeholders











Able to design experiments, measurement plans, dashboards, and case studies that enable us to make decisions backed by data and analytics











Able to communicate insights from your findings, not just relay the data itself. You champion your findings, document your insights and share this across the company











Education in business, economics, mathematics, computer science or a mix of relevant work experience in the field of data and analytics











Benefits























We are an equal opportunity employer and do not discriminate based upon race, religion, colour, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.",,Enterprise Software & Network Solutions,Toronto,Product Data Analyst,3.9,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,Subsidiary or Business Segment,2006

88,TES - The Employment Solution,"Description











As a member of Unify SCM Data Team, the data analyst will work closely with Unify SCM Function Team, SCM Business Users and other Unify Data Streams. The Data Analyst serves as technical expert on Procurement to Payment, Material Management and Logistics and SCM Master Data. You are comfortable working directly with the project team or the business on SCM Conversion on data preparation and validation. You will identify areas for data improvements while effectively using techniques and technology to help optimize them. You will also promote standardization of common business practices.























Note: The final level of this role will be determined by the experience and qualifications of the successful candidate.























GENERAL RESPONSIBILITIES:























Working on Supply Chain Management Data Readiness - Master Data, Purchase Order and Blanket PO Data, MML Transactional Data, MRP Planning











Facilitating SCM Data Conversion for R2 and R3











Acting as a key Function Validator on SCM Data Objects











Coaching and assisting Business Unit SME on their validation











Collaborating with Conversion Team to identify and resolve data defects in a timely manner











Conducting Comprehensive Data Analysis in support of Design Solutions and Process Decisions











Reporting on Supply Chain Management Data Quality and Integrity











Providing data support to SMEs and Functional Teams upon request











Supporting Senior Data Analysts on completion of various data tasks/activities the project assigned











Assisting in Developing MDM Governance Model if needed























QUALIFICATIONS:











A college diploma, or university degree in a related field, or minimum of 5 years equivalent business experience











Familiarity with supply chain processes (e.g. P2P, inventory planning, warehouse management)











Experience in data mining, analysis and reporting











Working knowledge of MS Office, relational databases",,Staffing & Outsourcing,Calgary,Data Analyst II,3.5,Less than $1 million (USD),Business Services,1 to 50 Employees,Company - Private,

89,IQVIA,"IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients. Formed through the merger of IMS Health and Quintiles, IQVIA offers a broad range of solutions that harness the power of healthcare data, domain expertise, transformative technology, and advanced analytics to drive healthcare forward.











Purpose:











Ensure accuracy & validity of IQVIA’s prescriber reference database. The candidate will consistently research reference information and provide updates accordingly, while working with a team of analysts to share knowledge and support workload across the database.











JOB DESCRIPTION:











Bridge prescriber level details to a specific header available in the IQVIA reference database











Add/modify prescriber details in the IQVIA database











Research and activate prescribers











Upon receipt of information, reference details are analyzed and flagged accordingly











Generate prescriber activity report which will be used for checking the accuracy of coding done











Verify coding & run appropriate IQVIA reports











Review & prioritize











Analyze, research and investigate client queries











Apply necessary corrections and maintenance on the database











Re-assign and close incident reports











RESPONSIBILITIES:











Develops an understanding of the knowledge needed to maintain reference files











Research reference information in agreed sources











Creates roster of prescribers to be coded to the database











Updates and checks prescriber reference information











Participates in projects and process improvements











Team work and communications with other departments











Provides statistical methodology support in the delivery of good data











Performs past production checking tasks











Performs QA procedures and checks to ensure the quality of the data











Logs quality related issues and clarify directly with other involved parties











Manages delivery timelines and quality of output











Weekly/monthly reporting











Provides feedback to the teams involved whenever there’s a production issue











Responsible for complying with internal quality standard











Responsible for complying with all information security policies and processes











Follows quality processes thoroughly; checklists, standards, SOP and business rules











REQUIRED KNOWLEDGE, SKILLS AND ABILITIES:











MS Office computer skills











Strong communication skills











Bilingual conversational French & English – oral & written











Excellent organization skills; ability to prioritize and multi-task











Required Education and Experience:











University degree (Science, Business, MIS) or 4 or more years of relevant work experience











Knowledge of IQVIA departments, product, services an asset











Knowledge of IQVIA databases an asset











At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. The advanced analytics, technology solutions and contract research services we provide to the life sciences industry are made possible by our 67,000+ employees around the world who apply their insight, curiosity and intellectual courage every step of the way. Learn more at jobs.iqvia.com.",,Biotech & Pharmaceuticals,Kirkland,Entry Level Data Analyst (Bilingual French & English),3.7,$2 to $5 billion (USD),Biotech & Pharmaceuticals,10000+ Employees,Company - Public,2017

90,TEEMA,"Title: Jr. Data Analyst





















Overview:










Our Client is seeking a full-time contract for the role of a Jr. Data Analyst to join an enterprise and complex technical environment. As a member of Data Team, the data analyst will work closely with Function Team, Business Users and other Data Streams. The Data Analyst serves as technical expert on Procurement to Payment, Material Management and Logistics and Master Data. They should be comfortable working directly with the project team or the business on Conversion on data preparation and validation, as well as identify areas for data improvements while effectively using techniques and technology to help optimize them. Data Analyst will also promote standardization of common business practices.





















Things you need to have:










A college diploma, or university degree in a related field, or minimum of 5 years equivalent business experience










Familiarity with supply chain processes (e.g. P2P, inventory planning, warehouse management)










Experience in data mining, analysis and reporting










Working knowledge of MS Office, relational databases and ERP systems (e.g. SAP)










Strong analytical and problem-solving skills, communication, and judgment to resolve significant business issues










Demonstrated ability to facilitate workshops and/or discussions with business users and project team










Excellent communication and presentation skills with sound knowledge of general communication tools










Ability to communicate effectively to TIS/Functional Team regarding business solutions










Methodical, analytical and systematic approach to work with strong organization and time management skills.





















What you will be doing:










Working on Supply Chain Management Data Readiness – Master Data, Purchase Order and Blanket PO Data, MML Transactional Data, MRP Planning










Facilitating Data Conversion for R2 and R3










Acting as a key Function Validator on Data Objects










Coaching and assisting Business Unit SME on their validation










Collaborating with Conversion Team to identify and resolve data defects in a timely manner










Conducting Comprehensive Data Analysis in support of Design Solutions and Process Decisions










Reporting on Supply Chain Management Data Quality and Integrity










Providing data support to SMEs and Functional Teams upon request










Supporting Senior Data Analysts on completion of various data tasks/activities the project assigned










Assisting in Developing MDM Governance Model if needed





















For information about TEEMA and to consider other career opportunities, please visit us at www.teemagroup.com





















By applying to TEEMA on any job portal implies you are entering into a business relationship with us and therefore grants TEEMA consent to send you further job updates or industry and company related information",,Staffing & Outsourcing,Calgary,Jr. Data Analyst,4.6,$50 to $100 million (USD),Business Services,201 to 500 Employees,Company - Private,2008

91,Ardene,"WHO WE ARE:










Ardene is the ultimate value fashion destination in North America and beyond. With 325+ stores in Canada, an expanding international presence, and a growing e-commerce business at ardene.com, the company is inspired by the ever-changing world of its customers. Ardene believes that fashion shouldn’t be exclusive or intimidating – it should be real, and it should be celebrated with youthful confidence and fearless enthusiasm. The company’s mission is to connect with customers by offering unique and inspiring fashion experiences at the best price.





















WHO YOU ARE:










Reporting to the Senior Manager, Loyalty & CRM, the Digital Data Analyst will be responsible for the extraction, manipulation & interpretation of customer data from our data warehouse as well as various systems (Oracle database, SQL Server, Salesforce Marketing Cloud, Loyalty platform, Google Analytics, etc.). They will be critical in helping to build a customer and data-centric culture, with the objective of delivering customer-level insights (customer journey, lifecycle & LTV, churn/retention, segmentation, etc.) in order to improve business decisions and increase customer lifetime value. They will support the planning and execution of A/B testing campaigns, statistical analyses, as well as building propensity and forecasting models.










The Digital Data Analyst’s primary responsibilities will include, but are not limited to:










Extract, manipulate & interpret data from our data warehouse and various systems (Oracle database, SQL Server, Salesforce Marketing Cloud, other cloud platforms, Google Analytics, Loyalty platform, etc.) using mainly SQL language










Participate in the ongoing improvement of the data warehouse










Support the team in A/B testing including pre-test analytics, sizing, testing strategy and results measurement










Support in the establishment of test measurement and sizing processes










Pull necessary data & interpret for sizing, segmentation, scaling, measurement, etc.










Run statistical analysis for test measurement and communicate impact/summary of weekly results (statistical significance, pre-post trend analysis, test deep-dives, etc.)










Query and analyze data to inform ideation, strengthen test hypotheses, identify target segments, including sizing the impact of ideas for prioritization and understand test results










Execute customer-level analytics (acquisition, customer lifecycle, retention/churn analysis, cohort analysis, customer journeys, etc.)










Provide loyalty program analytics, store and online shopper insights, newsletter insights, regional/country-specific insights, etc.










Provide statistical analysis, build relational models, as well as prediction/forecasting models










Support with reporting and dashboard creation to automate and track metrics and results










Visualize output when necessary










Provide support on special projects and analytics as needed










Job Requirements










WHAT YOU’LL NEED:










Bachelor’s degree with a focus in statistics, computer science, mathematics or related quantitative field










2-5 years of relevant experience










Experience with statistical and data manipulation language (strong SQL required)










Experience working with large data sets to lead to actionable business insights










Loyalty program/CRM experience an asset










Retail experience an asset










Proficiency with Microsoft Office Suite required, including advanced Excel functions










Strong understanding of database structures










Adept and proactive problem solver










Strong organizational skills










High attention to detail and commitment to high-quality work










Strong analytical & data mining skills










Ability to work independently as well as part of a multi-disciplinary team










Ability to work with minimal supervision










Bilingual (French and English)





















GROW WITH US!










We’re pretty proud to say that everything we do starts with our people – whether it’s in-store or at the head office. From sales associates and store leadership; dedicated in-house apparel and design teams; marketing, brand, and digital experts; stylists, photographers, and graphic designers; all the way to store concept and operations. We do it all. Ardene is truly a creative hub that is second to none.










Be part of a fun, dynamic and energetic team! Join our team and begin your career at one of North America’s top retail chains!





















Ardene is committed to employment equity. Only those whose candidacy has been retained will be contacted.",,"Department, Clothing, & Shoe Stores",Montreal,Digital Data Analyst,3.2,Unknown / Non-Applicable,Retail,1001 to 5000 Employees,Company - Private,1982

92,Vanguard,"Core Responsibilities










1. Leads the execution of large scale, more complex analytics projects. Applies significant quality control and risk assessment of the model, methodologies, outputs, and processes for major data science projects.










2. Leads and executes deep dive diagnostic, predictive, and prescriptive analytics to support data-driven business decision making. Creates alternative model approaches to assess complex model design and advance future capabilities. Mentors and develops junior data scientists and analysts.










3. Identifies and diagnoses data inconsistencies and errors, documents data assumptions, and forages to fill data gaps.










4. Engages with senior leadership to understand and probe business processes in order to develop hypotheses. Brings structure to requests and translates requirements into an analytic approach.










5. Guides test design, research design, and model validation. Provides statistical consultation services. Serves as the analytics expert on cross functional teams for large strategic initiatives and contributes to the growth of the Vanguard analytic community.










6. Prepares and delivers insight presentations and action recommendations. Communicates complex analytical findings and implications to business leaders.










7. Participates in special projects and performs other duties as assigned.





















Qualifications










Minimum of eight years related work experience in analytical roles. Experience with data wrangling required - Programming skills to access, transform and prepare large scale data for statistical modeling. Experience utilizing statistical and machine learning methods required.










Undergraduate degree in Analytics, Applied Mathematics, Economics, Statistics or related analytical field of study or equivalent combination of training and experience. Graduate degree preferred.










About Vanguard










We are Vanguard. Together, we’re changing the way the world invests.










For us, investing doesn’t just end in value. It starts with values. Because when you invest with courage, when you invest with clarity, and when you invest with care, you can get so much more in return. We invest with purpose – and that’s how we’ve become a global market leader. Here, we grow by doing the right thing for the people we serve. And so can you.










We want to make success accessible to everyone. This is our opportunity. Let’s make it count.










Inclusion Statement










Vanguard’s continued commitment to diversity and inclusion is firmly rooted in our culture. Every decision we make to best serve our clients, crew (internally employees are referred to as crew), and communities is guided by one simple statement: “Do the right thing.”










We believe that a critical aspect of doing the right thing requires building diverse, inclusive, and highly effective teams of individuals who are as unique as the clients they serve. We empower our crew to contribute their distinct strengths to achieving Vanguard’s core purpose through our values.










When all crew members feel valued and included, our ability to collaborate and innovate is amplified, and we are united in delivering on Vanguard's core purpose.










Our core purpose: To take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.",,Investment Banking & Asset Management,Toronto,Principal Data Scientist,3.3,Unknown / Non-Applicable,Finance,10000+ Employees,Company - Private,1975

93,Cascadia Scientific,"Cascadia Scientific provides a SaaS platform including fuel measurement hardware and data consultancy to the mining industry, delivering the next level of business intelligence related to fuel consumption, operator performance management and preventative maintenance on high horsepower diesel equipment.










Cascadia Scientific is seeking a Jr. Data Analyst who will be based in our South Surrey office and reporting to our Data Scientist.










The position will involve data quality checks and data analysis, including statistical analysis, machine learning, predictive analysis, producing data visualizations and communicating the results.










A strong candidate would have experience with several of the following skills:










Statistics










Machine learning, including linear regression, GBTs, clustering, time series analysis and Shap values.










Predictive analytics










Data visualizations using Plotly or similar software










SQL










AWS










Python/R










Strong communication skills with an ability to convey complicated analysis in both technical and lay terms.










Expected start date: 2021-01-04










Job Types: Full-time, Permanent










Benefits:










Casual dress










Dental care










Disability insurance










Extended health care










Life insurance










On-site childcare










On-site parking










Paid time off










Vision care










Schedule:










Monday to Friday










Education:










Bachelor's Degree (Preferred)










Work remotely:










No",,,Surrey,Jr. Data Analyst,,,,,,
